Year,Country Name,Total greenhouse gas emissions excluding LULUCF (% change from 1990),Access to electricity (% of population),Fossil fuel energy consumption (% of total) ,Energy use (kg of oil equivalent per capita) ,GDP per unit of energy use (PPP $ per kg of oil equivalent) ,Renewable energy consumption (% of total final energy consumption),Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e) ,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e) 
1992,Japan,1.840264861,100,84.36437943,3626.468897,6.018471256,4,0.2852,396.1644
1992,Italy,-1.256755336,100,92.57419105,2627.540117,7.681014601,4.8,0.044,120.318
1992,Nepal,0.621318221,..,6.286160799,297.1095135,3.097112232,94.2,0,0.0447
1992,Canada,1.926422653,100,73.28896894,7616.9732,2.7079263,22.4,0.077,105.3079
1992,United Kingdom,-0.894021037,100,89.21064057,3684.811447,4.831212742,0.8,0.0601,213.6831
1992,United States,0.650441024,100,85.5944984,7675.636556,3.311645958,4.8,2.0918,2021.3779
1992,India,6.330568409,..,60.977556,336.2068186,3.892248443,51.5,0.088,261.8936
1994,Japan,6.268377748,100,83.12395299,3823.871135,5.968674389,3.3,0.3115,418.6975
1994,Italy,-3.589302933,100,92.08093577,2578.662041,8.281195987,5.2,0.046,119.1633
1994,Nepal,4.929102624,..,7.852606732,299.6643196,3.424110358,92.4,0.0001,0.0721
1994,Canada,7.025812115,100,71.57402455,7971.058248,2.839376326,22.2,0.0834,98.377
1994,United Kingdom,-5.186439541,100,87.75985407,3733.804878,5.279514611,1,0.0817,182.0888
1994,United States,4.347102417,100,85.94257521,7755.082521,3.571187455,4.1,2.174,2108.5212
1994,India,12.39978951,49.81130981,62.21298221,347.8061822,4.216728541,50.5,0.0986,301.6161
1996,Japan,8.707070508,100,81.58573334,3990.473988,6.265053726,3.6,0.305,413.3427
1996,Italy,0.711579643,100,92.60717556,2796.38058,8.257884757,4.8,0.054,126.7158
1996,Nepal,7.904457111,17.9,8.667246681,302.2728585,3.67291305,91.5,0,0.0309
1996,Canada,12.49860804,100,73.07829499,8070.954005,2.979842902,22.1,0.0862,100.907
1996,United Kingdom,-2.815627225,100,87.55868607,3880.313556,5.653781507,0.9,0.1064,183.5039
1996,United States,8.085984387,100,85.54141642,7841.592886,3.821635879,4.8,2.2331,2241.4534
1996,India,20.22365129,53.00352097,64.59502315,367.7046509,4.60897028,49.1,0.1238,368.5341
1998,Japan,3.030508238,100,79.74841154,3938.282938,6.47741668,3.8,0.2892,389.7983
1998,Italy,3.430774588,100,92.27788071,2913.200226,8.60691021,4.8,0.0655,131.561
1998,Nepal,10.83047452,21.7325325,9.928833705,307.4630592,3.860381989,90.5,0.0001,0.0927
